question id;question;question_variant;category;use_case
q010;Which document contains the top‑level APS requirements imported from DOORS?;Which document contains the top-level APS requirments imported from DORRS?;Junior;Requirements Traceability
q011;"Show the trace from ""High signal exposures"" to the analyses that verify it.";"Show the trace from ""High singal exposures"" to the analyses that verify it.";Medior;Requirements Traceability
q012;List APS Interface Requirements and their Acceptance State.;List APS Interfce Requirements and their Acceptence State.;Medior;Requirements Traceability
q013;Find any L3 APT requirements that currently lack a satisfy or verify link.;Find any L3 APT requirments that currently lack a satisify or verify link.;Senior;Requirements Traceability
q014;Where is the APS Black Box Specification located in the package hierarchy?;Where is the APS Black Box Specificaton located in the package heirarchy?;Junior;Model Navigation
q015;Which packages are subpackages of the APS Conceptual Design?;Which packages are sub-packages of the APS Conceptaul Design?;Junior;Model Navigation
q016;"Navigate to ""TMT‑APS Use Cases"" and enumerate the top‑level use cases.";"Navigate to ""TMT-APS Use Cases"" and enumarate the top-level use cases.";Medior;Model Navigation
q017;List all signals in the PEAS-CommonService package.;List all signals in the PEAS-CommonServce package.;Senior;Model Navigation
q018;"In ""Dynamic Power Analysis"", open the ""05 Simulation Configurations"" package and list participating configurations.";"In ""Dynamic Power Analaysis"", open the ""05 Simulation Configuraitons"" package and list participating configurations.";Senior;Model Navigation
q019;"What does ""APS"" stand for in this model and what is its mission role?";"What does ""APS"" stand for in this model and what is its mision role?";Junior;Knowledge Transfer
q020;Who are the primary stakeholders for APS operations in the model?;Who are the primary stakholders for APS operations in the model?;Junior;Knowledge Transfer
q021;"Summarize the role of ""Executive Software"" across Observatory and APS contexts.";"Summarize the role of ""Executve Software"" across Observtory and APS contexts.";Medior;Knowledge Transfer
q022;"Explain how the ""Roll‑up Pattern"" libraries are used for Error Budgets.";"Explain how the ""Roll-up Patern"" libraries are used for Error Budgets.";Medior;Knowledge Transfer
q023;List the configuration tables involved in wavefront calibration.;List the configuraton tables involved in wavfront calibration.;Senior;Knowledge Transfer
q024;Are there deprecated elements under APS Conceptual Design that should be archived?;Are there deprected elements under APS Conceptaul Design that should be archived?;Junior;Error Detection
q025;"Which ""holding_bin"" areas still contain 2016/2017 artifacts?";"Which ""holding_bin"" areas still contain 2016/2017 artifacs?";Junior;Error Detection
q026;"Detect APS requirements duplicated across ""individual views"" and ""flow‑down views"".";"Detect APS requirments duplicated across ""individual views"" and ""flow-down veiws"".";Medior;Error Detection
q027;"Find signals under ""_TMT_RecycleBin::01 signals"" that are still referenced by active diagrams.";"Find signals under ""_TMT_RecyleBin::01 signals"" that are still referenced by active diagrams.";Medior;Error Detection
q028;"Check consistency between the ""Peak Power Limit Requirement"" and analysis results across standby/online scenarios.";"Check consistancy between the ""Peak Power Limit Requirment"" and analysis results across standby/online senarios.";Senior;Error Detection
q029;What are the main requirement categories defined for the APS?;What are the main requirment categories defined for the APS?;Junior;Requirements Traceability
