q001	What is the APS?
q002	What are the main packages in the model?
q003	What's the main purpose of the model?
q004	What are the main elements of the APS architecture?
q005	What are the main elements capturing the APS behavior?
q006	What requirements are verified by the model?
q007	Which activities are included in verification of the Post Segment Exchange?
q008	In what cases is a new guide star acquired?
q009	What's the maximum misalignment of M1 when offloading sensor offsets?
q010	Which document contains the top‑level APS requirements imported from DOORS?
q011	Show the trace from "High signal exposures" to the analyses that verify it.
q012	List APS Interface Requirements and their Acceptance State.
q013	Find any L3 APT requirements that currently lack a satisfy or verify link.
q014	Where is the APS Black Box Specification located in the package hierarchy?
q015	Which packages are subpackages of the APS Conceptual Design?
q016	Navigate to "TMT‑APS Use Cases" and enumerate the top‑level use cases.
q017	List all signals in the PEAS-CommonService package.
q018	In "Dynamic Power Analysis", open the "05 Simulation Configurations" package and list participating configurations.
q019	What does "APS" stand for in this model and what is its mission role?
q020	Who are the primary stakeholders for APS operations in the model?
q021	Summarize the role of "Executive Software" across Observatory and APS contexts.
q022	Explain how the "Roll‑up Pattern" libraries are used for Error Budgets.
q023	List the configuration tables involved in wavefront calibration.
q024	Are there deprecated elements under APS Conceptual Design that should be archived?
q025	Which "holding_bin" areas still contain 2016/2017 artifacts?
q026	Detect APS requirements duplicated across "individual views" and "flow‑down views".
q027	Find signals under "_TMT_RecycleBin::01 signals" that are still referenced by active diagrams.
q028	Check consistency between the "Peak Power Limit Requirement" and analysis results across standby/online scenarios.
q029	What are the main requirement categories defined for the APS?
q030	From which external documents are the TMT requirements imported?
q031	What are the top-level work packages in the TMT Project?
q032	Where is the APS model located in the package hierarchy?
q033	What are the main components of the APS Conceptual Design?
q034	What stakeholders are defined for the APS Mission?
q035	Are there any deprecated packages in the APS model?
q036	What modeling support patterns are used in the model?
q037	What timing requirements are formalized for the APS?
q038	Which requirement flow-down views are defined for the APS Black Box Specification?
q039	What sub-packages are contained under the APS Conceptual Design?
q040	What views are defined under the TMT-APS-SE view package?
q041	What is the role of the Procedure Executive and Analysis Software in the APS?
q042	What external systems interface with the APS at the telescope level?
q043	Are there packages labeled as obsolete or to be removed in the requirements hierarchy?
q044	What is the difference between the APS Black Box Specification at the JPL level and at the TMT level?
q045	Which parent requirements trace down to the APS Interface Requirements?
q046	What is the relationship between the L2 APS Requirements Document and the APS Requirements Flowdown in the information flow?
q047	Where are the configuration tables for the Wavefront Calibration Lookup Table located in the model?
q048	What is the path from the TMT Project root to the Pupil Alignment Error Budget analysis?
q049	What error budget elements contribute to the Pupil Alignment Error Budget?
q050	How is the Maintenance Alignment duration trade study structured in the model?
q051	Are the Peak Power Limit Requirement blocks consistent between the JPL and TMT specification levels?
q052	Which duration analysis scenarios lack a corresponding formalized timing requirement?
